ID,xlocation,ylocation,zlocation,rocktype,gold,copper,gold1
1,11,8,0,2,,,0.713
2,8,30,0,2,,,0.666
3,9,48,0,2,224.199997,,0.712
4,8,68,0,2,434.3999939,,0.235
5,9,90,0,2,412.1000061,,0.415
6,10,110,0,2,587.2000122,,0.097
7,9,129,0,2,192.3000031,,0.409
8,11,150,0,2,31.29999924,,0.928
9,10,170,0,2,388.5,,0.42
10,8,188,0,2,174.6000061,,0.664
11,9,209,0,2,187.8000031,,0.539
12,10,231,0,1,82.09999847,,0.517
13,11,250,0,1,81.09999847,,0.298
14,10,269,0,2,124.3000031,,0.792
15,8,288,0,2,188,,0.557
16,31,11,0,2,28.70000076,,0.427
17,29,29,0,2,78.09999847,,0.413
18,28,51,0,2,292.1000061,,0.225
19,31,68,0,2,895.2000122,,0.674
20,28,88,0,2,702.5999756,,0.965
21,30,110,0,2,490.2999878,,0.869
22,28,130,0,2,136.1000061,,0.179
23,28,150,0,2,335,,0.99
24,30,171,0,2,277,,0.478
25,28,190,0,2,206.1000061,,0.006
26,31,209,0,2,24.5,,0.71
27,28,229,0,2,198.1000061,,0.525
28,30,250,0,2,60.29999924,,0.076
29,31,269,0,2,312.6000061,,0.374
30,31,289,0,2,240.8999939,,0.078
31,49,11,0,2,653.2999878,,0.572
32,49,29,0,2,96.40000153,,0.388
33,51,48,0,2,105,,0.067
34,49,68,0,2,37.79999924,,0.974
35,50,88,0,2,820.7999878,,0.653
36,51,109,0,2,450.7000122,,0.74
37,48,129,0,2,190.3999939,,0.441
38,49,151,0,2,773.2999878,,0.832
39,51,168,0,2,971.9000244,,0.417
40,48,190,0,2,762.4000244,,0.442
41,50,211,0,2,968.2999878,,0.832
42,49,231,0,2,394.7000122,,0.174
43,51,250,0,2,343,,0.327
44,50,268,0,2,863.7999878,,0.489
45,51,290,0,1,159.6000061,,0.013
46,71,9,0,2,445.7999878,,0.714
47,71,29,0,2,673.2999878,,0.743
48,70,51,0,2,252.6000061,,0.252
49,68,70,0,2,537.5,,0.16
50,69,90,0,2,,,0.339
51,68,110,0,2,329.1000061,,0.399
52,68,128,0,2,646.2999878,,0.692
53,69,148,0,2,616.2000122,,0.084
54,69,169,0,2,761.2999878,,0.655
55,70,191,0,2,918,,0.915
56,69,208,0,1,97.40000153,,0.503
57,69,229,0,1,,,0.027
58,68,250,0,1,,,0.036
59,71,268,0,1,,,0.51
60,71,288,0,1,2.4000001,,0.579
61,91,11,0,2,368.2999878,,0.344
62,91,29,0,2,91.59999847,,0.422
63,90,49,0,2,654.7000122,,0.568
64,91,68,0,2,645.5,,0.436
65,91,91,0,2,907.2000122,,0.669
66,91,111,0,2,826.2999878,,0.752
67,89,130,0,2,975.2999878,,0.242
68,88,149,0,2,551.0999756,,0.482
69,89,170,0,1,155.5,,0.482
70,89,188,0,1,10.69999981,,0.239
71,90,211,0,1,,,0.08
72,90,230,0,1,,,0.003
73,88,249,0,1,,,0.684
74,88,269,0,1,12.10000038,,0.589
75,88,288,0,1,62.20000076,,0.1
76,109,11,0,2,399.6000061,,0.729
77,111,31,0,2,176.6000061,,0.828
78,108,49,0,2,402,,0.607
79,109,68,0,2,260.6000061,,0.736
80,108,88,0,2,192,,0.659
81,110,109,0,2,237.6000061,,0.703
82,109,129,0,2,702,,0.895
83,110,148,0,2,38.5,,0.802
84,111,169,0,1,22.10000038,,0.47
85,111,191,0,1,2.70000005,,0.198
86,110,208,0,1,17.89999962,,0.319
87,109,230,0,2,174.199997,,0.631
88,109,249,0,2,12.89999962,,0.714
89,109,268,0,2,187.8000031,,0.327
90,111,291,0,2,268.7999878,,0.82
91,130,9,0,2,572.5,,0.734
92,131,31,0,2,29.10000038,,0.704
93,130,48,0,2,75.19999695,,0.044
94,128,70,0,2,399.8999939,,0.298
95,129,90,0,2,243.1000061,,0.049
96,131,109,0,2,,,0.437
97,129,128,0,2,244.699997,,0.54
98,131,148,0,2,185.199997,,0.889
99,131,169,0,1,26,,0.688
100,129,191,0,1,,,0.974
101,128,209,0,1,100.3000031,,0.011
102,130,231,0,2,530.2999878,,0.171
103,131,248,0,2,107.4000015,,0.66
104,128,269,0,2,159.3000031,,0.416
105,131,288,0,2,70.69999695,,0.925
106,148,8,0,2,260.2000122,,0.318
107,149,29,0,2,326,,0.423
108,150,49,0,2,332.7000122,,0.063
109,151,69,0,2,531.2999878,,0.414
110,150,89,0,2,547.2000122,,0.964
111,150,109,0,2,482.7000122,,0.345
112,150,129,0,2,84.09999847,,0.937
113,150,151,0,2,4.69999981,,0.235
114,149,169,0,2,180.6000061,,0.797
115,151,190,0,1,,,0.547
116,148,208,0,2,342.3999939,,0.204
117,150,228,0,2,602.2999878,,0.513
118,149,251,0,2,209.1000061,,0.209
119,149,271,0,2,79.40000153,,0.066
120,148,291,0,2,104.0999985,,0.172
121,168,8,0,2,446,,0.989
122,171,29,0,2,189.8999939,,0.85
123,169,49,0,2,280.3999939,,0.325
124,168,69,0,1,,,0.802
125,168,91,0,2,499.2999878,,0.667
126,171,109,0,2,457.2999878,,0.649
127,168,131,0,2,341.2000122,,0.798
128,171,150,0,2,,,0.415
129,171,171,0,2,208.3000031,,0.174
130,169,191,0,1,99.69999695,,0.83
131,170,210,0,2,636.5999756,,0.25
132,170,230,0,2,173.1000061,,0.212
133,169,249,0,2,17,,0.931
134,168,271,0,2,283.1000061,,0.799
135,168,290,0,1,30.89999962,,0.161
136,190,11,0,2,348.5,,0.524
137,191,28,0,2,222.3999939,,0.736
138,191,48,0,2,59.09999847,,0.858
139,190,69,0,1,,,0.991
140,190,89,0,2,326,,0.102
141,188,111,0,2,325.1000061,,0.821
142,191,129,0,2,114.699997,,0.547
143,189,149,0,2,481.6000061,,0.187
144,190,169,0,2,324.1000061,,0.717
145,190,189,0,1,10.89999962,,0.135
146,188,210,0,2,332.8999939,,0.126
147,191,231,0,2,184.3999939,,0.346
148,190,248,0,2,146.6000061,,0.433
149,189,270,0,1,92,,0.211
150,189,290,0,1,2.5,,0.796
151,211,11,0,2,358.1000061,,0.559
152,209,30,0,2,473.2999878,,0.551
153,211,49,0,2,308.7999878,,0.195
154,210,70,0,2,406.7999878,,0.333
155,209,90,0,2,812.0999756,,0.231
156,210,111,0,2,339.7000122,,0.286
157,211,130,0,2,223.8999939,,0.951
158,208,151,0,2,673.5,,0.129
159,209,168,0,2,141,,0.6
160,208,191,0,1,61.79999924,,0.623
161,210,211,0,2,258.2999878,,0.679
162,211,228,0,2,590.2999878,,0.976
163,211,250,0,2,166.8999939,,0.726
164,208,268,0,2,125.199997,,0.945
165,208,289,0,1,29.29999924,,0.423
166,231,10,0,2,617.5999756,,0.574
167,231,28,0,2,425.8999939,,0.182
168,230,50,0,2,295.7000122,,0.937
169,230,71,0,2,224.8999939,,0.127
170,229,91,0,1,31.70000076,,0.897
171,229,110,0,2,377.3999939,,0.931
172,230,131,0,2,333.2999878,,0.315
173,228,148,0,2,351,,0.586
174,229,169,0,1,,,0.457
