ID,FROM,TO,ROCK
DH001,0.0,0.1,SAPR
DH001,0.1,0.8,SGNCRLSS
DH001,0.8,0.9,SAPR
DH001,0.9,1.8,SGNCRLSS
DH001,1.8,4.05,SAPR
DH001,4.05,4.75,SGNCRLSS
DH001,4.75,7.35,SAPR
DH001,7.35,92.550003,E1
DH001,92.0,93.25,SGNCRLSS
DH001,93.25,140.800003,E1
DH001,140.800003,198.050003,DA
DH002,0.0,3.5,SGNCRLSS
DH002,3.5,23.16,E1
DH002,23.16,25.9,E3
DH002,25.9,36.900002,E1
DH002,36.900002,45.5,E2
DH002,45.5,87.050003,E1
DH002,87.050003,138.149994,EBX2
DH002,138.149994,141.300003,E3
DH002,141.300003,158.199997,EBX2
DH002,158.199997,167.399994,E3
DH002,167.399994,194.850006,EBX2
DH002,194.850006,197.279999,DA
DH002,197.279999,202.800003,EBX2
DH002,202.800003,222.100006,DA
DH003,0.0,1.0,SGNCRLSS
DH003,1.0,25.200001,SAPR
DH003,25.200001,52.900002,E3
DH003,52.900002,58.799999,EBX2
DH003,58.799999,60.799999,E3
DH003,60.799999,80.400002,EBX2
DH003,80.400002,112.5,E2
DH003,112.5,143.100006,EBX2
DH003,143.100006,160.5,DA
DH003,160.5,195.350006,EBX2
DH003,195.350006,196.139999,E1
DH003,196.139999,206.809998,EBX2
DH003,206.809998,208.199997,E2
DH004,0.0,22.049999,E2
DH004,22.049999,40.150002,DA
DH004,40.150002,137.5,E2
DH004,137.5,140.300003,EBX2
DH004,140.300003,200.0,E2
DH005,0.0,0.6,SGNCRLSS
DH005,0.6,0.7,COLLV
DH005,0.7,1.2,SGNCRLSS
DH005,1.2,1.9,COLLV
DH005,1.9,2.4,SGNCRLSS
DH005,2.4,3.5,COLLV
DH005,3.5,4.0,SGNCRLSS
DH005,4.0,4.8,COLLV
DH005,4.8,18.77,DA
DH005,18.77,81.5,E2
DH005,81.5,84.699997,DA
DH005,84.699997,196.0,E2
DH005,196.0,200.0,EBX2
DH006,0.0,1.5,SGNCRLSS
DH006,1.5,1.56,SAPR
DH006,1.56,3.8,SGNCRLSS
DH006,3.8,4.0,SAPR
DH006,4.0,5.3,SGNCRLSS
DH006,5.3,5.5,SAPR
DH006,5.5,6.8,SGNCRLSS
DH006,6.8,8.95,SAPR
DH006,8.95,9.8,SGNCRLSS
DH006,9.8,24.200001,SAPR
DH006,24.200001,28.549999,E3
DH006,28.549999,32.0,SGNCRLSS
DH006,32.0,134.0,E3
DH006,134.0,214.649994,EBX2
DH006,214.649994,236.600006,DA
DH006,236.600006,241.0,E3
DH006,241.0,276.0,E2
DH006,276.0,304.0,I1
DH006,304.0,307.299988,I2
DH006,307.299988,318.600006,I1
DH006,318.600006,324.5,I2
DH006,324.5,348.799988,I1
DH006,348.799988,363.100006,I2
DH006,363.100006,374.700012,I1
DH006,374.700012,465.779999,IBX
DH006,465.779999,476.0,EBX2
DH006,476.0,486.600006,E2
DH006,486.600006,523.0,EBX2
DH006,523.0,534.400024,E2
DH006,534.400024,562.0,SBX
DH007,0.0,35.0,COLLV
DH007,35.0,57.099998,SAPR
DH007,57.099998,82.0,E3
DH007,82.0,85.599998,SGNCRLSS
DH007,85.599998,109.580002,E3
DH007,109.580002,112.480003,DA
DH007,112.480003,115.400002,E3
DH007,115.400002,117.150002,DA
DH007,117.150002,145.149994,E3
DH007,145.149994,182.149994,DA
DH008,0.0,4.3,ASH
DH008,4.3,12.8,SAPR
DH008,12.8,16.9,H
DH008,16.9,18.799999,E2
DH008,18.799999,55.299999,H
DH008,55.299999,75.0,DA
DH008,75.0,76.400002,SBX
DH008,76.400002,81.400002,H
DH008,81.400002,82.900002,SBX
DH008,82.900002,106.300003,H
DH008,106.300003,112.419998,SBX
DH008,112.419998,118.5,E2
