Profundidad,Densidad Aparente,Gamma Ray,Porosidad Neutrón,Resistividad Profunda,Resistividad Media
3615.434,2.3429,54.8754,44.5742,0.8941,0.8359
3615.5864,2.3528,53.5158,62.1103,0.7367,0.8028
3615.7388,2.317,48.9803,71.9087,0.6423,0.7958
3615.8912,2.2585,36.6762,44.8988,0.6571,0.7929
3616.0436,2.2108,40.4632,49.5744,0.7442,0.794
3616.196,2.2043,34.5944,33.7486,0.7461,0.7998
3616.3484,2.2558,30.2169,25.1014,0.7584,0.8431
3616.5008,2.3477,32.7352,15.9389,0.9299,1.0334
3616.6532,2.4238,30.3098,14.3046,1.1877,1.3554
3616.8056,2.4514,32.6037,12.7656,1.2524,1.7562
3616.958,2.4613,29.1877,14.5347,1.1941,1.6138
3617.1104,2.4681,27.5391,13.9872,1.1643,1.6388
3617.2628,2.4664,32.0472,17.0177,1.1769,1.6396
3617.4152,2.4565,30.0272,22.0449,1.1877,1.58
3617.5676,2.4434,32.0201,27.61,1.1802,1.4031
3617.72,2.419,33.422,28.0136,1.146,1.122
3617.8724,2.3954,28.6653,34.0052,1.0448,1.0268
3618.0248,2.3691,29.3822,33.3281,0.969,0.9745
3618.1772,2.3254,34.04,26.4729,0.916,0.9712
3618.3296,2.2694,34.04,37.6999,0.8827,0.9712
3618.482,2.2434,39.4809,30.5046,0.8046,0.9693
3618.6344,2.2239,40.6847,54.4619,0.7491,0.9633
3618.7868,2.1321,35.6092,95.4091,0.7483,0.9518
3618.9392,2.0919,41.5162,86.7227,0.7485,0.9239
3619.0916,2.2382,46.0491,97.5871,0.7507,0.8501
3619.244,2.3535,40.8043,90.0191,0.734,0.8202
3619.3964,2.3766,45.7993,61.9258,0.7315,0.8114
3619.5488,2.3795,54.1651,62.0166,0.7564,0.812
3619.7012,2.3793,55.0605,67.059,0.7658,0.8194
3619.8536,2.3736,61.8259,80.5069,0.7572,0.8309
3620.006,2.3329,59.6013,97.1727,0.773,0.8371
3620.1584,2.2282,60.0072,106.4448,0.7931,0.8456
3620.3108,2.1872,57.7056,63.4259,0.8033,0.8794
3620.4632,2.2344,51.918,60.1774,0.8311,0.929
3620.6156,2.3124,49.0631,88.3375,0.8515,0.9512
3620.768,2.3756,49.3982,90.1326,0.8573,0.9631
3620.9204,2.359,49.481,82.5273,0.8594,0.964
3621.0728,2.2906,47.0412,66.2048,0.853,0.9542
3621.2252,2.2293,46.6327,88.7961,0.8505,0.9446
3621.3776,2.2031,46.1048,52.5279,0.8419,0.937
3621.53,2.1838,41.2563,98.5979,0.8454,0.9572
3621.6824,2.1648,45.8501,146.3474,0.8611,0.9716
3621.8348,2.1483,44.5325,69.6356,0.9127,0.9869
3621.9872,2.1475,43.5767,60.4151,0.9035,1.0088
3622.1396,2.1735,36.6148,81.5431,0.8836,1.0318
3622.292,2.1934,41.1121,73.4462,0.8754,0.9705
3622.4444,2.184,34.6288,67.9045,0.8633,0.8828
3622.5968,2.159,40.552,65.638,0.8222,0.8333
3622.7492,2.1406,41.827,45.4569,0.7582,0.7624
3622.9016,2.1465,34.5492,33.6156,0.7274,0.714
3623.054,2.1506,32.9677,34.105,0.711,0.6791
3623.2064,2.1528,33.375,26.5674,0.6451,0.6475
3623.3588,2.1615,31.3731,27.8123,0.5834,0.6372
3623.5112,2.1604,29.0045,28.3465,0.5435,0.6226
3623.6636,2.1618,30.5825,25.4624,0.5324,0.6038
3623.816,2.1673,25.8654,26.6439,0.516,0.5895
3623.9684,2.1647,28.6653,24.4034,0.5084,0.5884
3624.1208,2.1638,26.3408,25.3025,0.503,0.5879
3624.2732,2.1639,29.3467,24.5946,0.5084,0.5863
3624.4256,2.1681,25.8621,21.1529,0.5094,0.5882
3624.578,2.1737,26.8737,26.9505,0.5142,0.5845
3624.7304,2.1712,25.2052,24.9677,0.5156,0.5884
3624.8828,2.1648,30.3186,26.1324,0.48,0.5794
3625.0352,2.1693,27.3253,27.3021,0.4599,0.5654
3625.1876,2.1766,25.9877,27.9586,0.4546,0.5334
3625.34,2.1838,24.9885,24.9961,0.455,0.5309
3625.4924,2.1942,32.9966,28.5879,0.4549,0.5316
3625.6448,2.1951,28.066,25.2251,0.4521,0.5262
3625.7972,2.1887,27.7055,22.6244,0.4481,0.5307
3625.9496,2.1813,26.8737,24.0866,0.4434,0.539
3626.102,2.1759,23.4727,21.5361,0.4444,0.5384
3626.2544,2.1797,24.5296,30.0444,0.4407,0.5377
3626.4068,2.1852,28.9017,28.4015,0.4384,0.5368
3626.5592,2.1884,30.4569,24.843,0.4363,0.5357
3626.7116,2.1947,27.9389,26.3314,0.4347,0.5348
3626.864,2.2008,29.6469,26.5877,0.4359,0.5317
3627.0164,2.2053,27.2523,25.0004,0.436,0.5302
3627.1688,2.2033,25.716,26.4263,0.4333,0.5297
3627.3212,2.2074,25.9779,26.1485,0.4322,0.5294
3627.4736,2.2098,30.6043,23.5318,0.4293,0.5313
3627.626,2.2127,31.5687,23.2191,0.4289,0.537
3627.7784,2.2157,30.2491,25.6567,0.4303,0.5429
3627.9308,2.2157,26.8737,28.4424,0.4339,0.549
3628.0832,2.2119,27.5888,25.35,0.4405,0.5579
3628.2356,2.2091,31.6869,26.2513,0.4463,0.5612
3628.388,2.2051,30.4569,29.4372,0.4522,0.5642
3628.5404,2.2081,27.8248,29.8825,0.4628,0.5811
3628.6928,2.2153,29.8141,36.3997,0.4734,0.5985
3628.8452,2.2242,35.0527,24.216,0.4819,0.6114
