Nombre,SiO2,Al2O3,CaO,Na2O,K2O,FeOT,MgO,MnO,TiO2
andesite,62.7,16.9,5.31,4.45,1.57,4.4,3.39,0.05,0.47
andesite,61.7,18.9,5.4,5.16,1.65,3.71,2.45,0.03,0.47
andesite,62.2,16.9,5.83,4.18,1.87,4.32,3.36,0.07,0.76
andesite,62.6,17.0,5.1,4.32,1.68,5.44,2.23,0.05,0.8
andesite,56.0,19.9,8.72,4.04,2.02,4.66,1.69,0.06,1.67
andesite,61.0,16.8,6.32,4.28,1.34,5.14,3.44,0.06,0.73
andesite,56.51,13.23,6.74,2.48,0.75,7.94,9.76,0.13,0.94
andesite,55.0,17.7,6.798,3.779,1.689,8.28,3.272,0.145,1.022
andesite,53.159,17.602,7.515,3.561,1.47,8.57,3.823,0.15,1.096
andesite,55.871,19.647,6.969,4.18,1.8,6.48,2.118,0.122,0.955
andesite,56.029,17.483,6.829,3.502,1.799,7.74,3.043,0.142,0.859
andesite,54.758,17.778,7.336,3.62,1.432,8.34,3.657,0.137,0.98
andesite,57.46,17.424,6.294,3.876,1.315,6.75,2.604,0.176,0.82
andesite,53.423,17.245,8.28,3.119,1.289,8.56,4.803,0.181,1.027
andesite,52.825,17.303,8.309,3.175,1.318,8.57,4.766,0.181,1.036
andesite,54.283,18.46,7.729,3.512,1.271,7.55,3.329,0.16,0.999
andesite,54.498,18.148,7.563,3.51,1.311,7.62,3.319,0.16,1.021
andesite,53.204,17.309,7.723,3.692,1.705,8.84,4.125,0.169,1.221
andesite,52.013,19.917,8.683,3.51,1.189,8.25,3.151,0.184,1.101
andesite,52.189,17.426,7.834,3.201,1.237,8.54,3.922,0.141,0.986
andesite,52.621,17.257,8.709,3.091,1.336,8.85,5.072,0.142,1.12
andesite,52.009,17.853,8.066,3.237,1.263,8.83,4.094,0.175,1.118
andesite,53.077,17.682,8.037,3.43,1.52,8.34,4.638,0.172,1.047
andesite,52.926,18.978,7.977,3.343,1.359,7.78,3.503,0.168,0.964
andesite,53.802,18.577,7.779,3.364,1.388,7.74,3.44,0.157,0.973
andesite,52.819,17.627,8.223,3.187,1.313,8.68,4.621,0.185,1.052
andesite,52.116,16.823,8.634,3.007,1.19,9.04,5.535,0.182,1.114
andesite,52.132,18.418,8.574,3.293,1.237,8.26,4.128,0.192,0.843
andesite,52.927,17.402,8.405,3.253,1.197,8.32,5.202,0.171,0.976
andesite,52.367,16.8,9.079,3.004,1.075,8.77,5.783,0.186,1.078
andesite,53.975,16.341,6.791,3.929,2.649,8.72,2.965,0.195,1.735
andesite,54.206,16.383,6.729,3.954,2.679,8.66,2.925,0.183,1.739
andesite,54.008,16.41,6.838,3.947,2.652,8.72,3.012,0.185,1.746
andesite,53.961,16.363,6.76,3.928,2.656,8.75,2.956,0.203,1.739
andesite,53.703,16.247,6.758,3.906,2.63,8.64,2.964,0.185,1.723
andesite,52.479,18.499,8.586,3.447,1.189,8.65,4.167,0.181,1.233
andesite,54.711,18.169,7.652,3.51,1.543,7.44,3.625,0.162,0.913
andesite,54.732,18.296,7.912,3.405,1.427,7.52,3.812,0.167,0.905
andesite,55.042,18.218,7.679,3.458,1.485,7.45,3.689,0.164,0.906
andesite,52.781,14.008,9.693,2.543,0.974,8.65,7.968,0.174,0.948
andesite,52.757,18.828,8.4,3.355,1.175,8.66,3.768,0.19,1.047
andesite,55.575,18.548,7.517,3.664,1.413,7.03,2.923,0.145,0.856
andesite,52.81,16.021,8.767,2.943,1.09,8.55,6.121,0.178,1.046
andesite,52.226,16.065,9.034,2.983,1.074,8.8,6.526,0.182,1.051
andesite,52.257,15.646,9.203,2.851,1.099,8.9,6.393,0.178,1.035
andesite,52.824,17.647,8.235,3.197,1.319,8.64,4.669,0.178,1.045
andesite,54.642,17.736,7.083,3.831,1.741,7.2,3.662,0.14,0.949
andesite,52.686,15.696,8.692,3.057,1.288,8.01,6.442,0.148,0.932
andesite,52.098,14.244,9.179,2.829,1.226,8.28,8.663,0.143,0.936
andesite,53.188,15.778,8.585,3.093,1.359,8.08,6.412,0.139,0.945
andesite,53.005,15.578,8.906,3.003,1.22,8.02,6.837,0.154,0.905
andesite,52.894,17.561,8.149,3.425,1.722,8.89,3.684,0.157,1.216
andesite,53.386,17.253,8.344,3.438,1.364,7.97,5.297,0.147,1.005
andesite,53.467,16.083,6.872,3.577,2.093,8.99,3.271,0.156,1.669
andesite,54.094,16.299,6.896,3.644,2.126,9.18,3.325,0.165,1.7
andesite,53.924,16.421,6.948,3.663,2.122,9.13,3.286,0.162,1.686
andesite,54.164,16.077,6.755,3.626,2.282,8.98,3.121,0.161,1.821
andesite,54.01,16.492,7.039,3.568,2.18,8.77,3.385,0.155,1.715
andesite,53.791,16.49,7.04,3.544,2.163,8.71,3.379,0.15,1.704
andesite,52.18,16.17,7.47,3.65,2.47,10.64,4.25,0.2,1.97
andesite,52.06,16.16,7.47,3.65,2.47,10.53,4.26,0.19,1.96
andesite,57.22,17.37,7.47,4.07,1.46,6.73,3.7,0.12,0.78
andesite,57.34,17.22,7.36,3.9,1.61,6.37,3.63,0.12,0.76
andesite,57.39,17.32,7.16,4.05,1.62,6.24,3.58,0.12,0.75
andesite,58.9,17.56,6.79,4.2,1.78,6.1,3.35,0.12,0.75
andesite,59.24,17.4,6.47,4.25,1.9,5.88,3.17,0.12,0.73
andesite,59.34,16.95,6.4,4.22,1.88,5.75,3.09,0.12,0.74
andesite,60.83,17.12,6.06,4.37,2.05,5.53,3.0,0.12,0.72
andesite,61.85,16.69,5.14,4.6,2.35,5.04,2.48,0.11,0.67
andesite,61.91,16.73,5.31,4.68,2.28,5.1,2.48,0.11,0.67
andesite,62.3,16.62,5.05,4.62,2.37,4.91,2.4,0.11,0.66
andesite,63.04,16.52,4.52,4.85,2.57,4.68,2.26,0.1,0.68
andesite,52.6,13.92,8.3,3.08,0.32,13.08,4.13,0.23,1.94
andesite,53.18,16.87,9.07,3.22,0.83,7.53,5.46,0.12,1.2
andesite,51.3,19.0,9.74,2.37,0.35,9.54,5.53,0.17,0.65
andesite,53.84,16.75,8.89,2.36,1.65,8.42,5.25,0.16,0.68
andesite,53.59,16.99,9.42,2.1,1.54,8.64,4.74,0.16,0.77
andesite,54.1,17.26,8.89,2.49,1.56,7.8,4.42,0.14,0.81
andesite,53.58,16.94,9.85,2.9,1.95,8.09,4.71,0.14,0.72
andesite,55.18,16.27,8.84,2.01,1.61,8.41,4.17,0.15,0.83
andesite,51.87,14.85,10.95,2.41,0.95,7.87,7.63,0.14,0.55
andesite,52.12,17.29,10.11,2.22,1.22,8.61,5.84,0.17,0.68
andesite,53.96,15.13,10.14,2.28,1.37,8.31,5.86,0.32,0.69
andesite,54.83,17.21,8.93,2.98,1.1,7.65,4.43,0.14,0.68
andesite,52.35,16.69,9.71,2.32,1.05,7.94,6.38,0.16,0.61
andesite,53.54,17.19,8.87,2.65,2.07,8.09,4.58,0.17,0.69
andesite,60.53,19.36,5.59,3.34,3.56,3.95,0.86,0.09,0.56
andesite,59.12,16.08,7.3,1.92,2.3,7.12,4.26,0.15,0.76
andesite,59.12,16.66,6.76,3.01,3.35,6.4,2.27,0.15,0.73
andesite,60.31,16.6,6.65,3.08,3.16,6.25,2.19,0.14,0.71
andesite,57.72,14.88,6.61,4.02,4.29,6.34,3.71,0.15,0.51
andesite,59.97,14.77,5.55,3.89,4.21,6.06,3.18,0.13,0.48
andesite,58.88,15.01,5.4,4.56,4.68,5.92,2.79,0.14,0.5
andesite,56.07,16.18,6.35,3.83,5.25,6.5,3.31,0.13,0.55
andesite,55.54,15.87,7.05,3.55,4.93,6.73,3.83,0.14,0.58
andesite,58.29,16.72,4.58,3.82,5.41,6.15,2.12,0.12,0.54
andesite,58.5,16.94,4.49,3.89,5.47,5.8,1.98,0.11,0.53
andesite,56.36,14.9,7.35,3.6,4.7,6.86,4.02,0.14,0.56
andesite,55.65,15.61,6.94,3.64,5.05,6.87,3.79,0.14,0.58
andesite,58.05,17.29,4.22,4.1,5.85,6.19,1.99,0.12,0.56
andesite,59.15,16.85,4.12,3.96,5.72,5.79,1.73,0.11,0.52
andesite,55.54,15.93,7.36,3.17,1.94,7.07,6.73,0.11,1.2
andesite,54.85,17.6,7.86,3.41,2.33,7.96,2.97,0.15,0.69
andesite,54.36,16.4,7.75,3.69,2.13,9.45,3.54,0.19,0.81
andesite,56.25,17.31,7.01,3.87,2.78,7.97,2.77,0.17,0.79
andesite,52.94,16.46,8.36,3.67,1.87,9.47,4.069,0.185,0.812
andesite,53.09,16.59,8.26,3.64,1.86,9.4,3.991,0.186,0.808
andesite,53.36,16.6,8.14,3.61,1.91,9.45,3.983,0.187,0.821
andesite,54.03,16.55,8.1,3.61,1.89,9.65,3.58,0.2,0.87
andesite,56.66,16.05,6.46,3.83,2.94,8.58,3.12,0.17,0.89
andesite,57.64,16.15,5.7,3.94,3.43,8.05,2.37,0.18,0.89
andesite,53.02,14.35,8.63,2.99,2.02,9.08,7.77,0.18,0.75
andesite,56.56,15.86,6.25,3.79,3.15,8.76,2.91,0.19,0.92
andesite,57.68,15.36,5.61,3.87,3.54,8.34,2.7,0.18,0.97
andesite,56.06,15.9,6.56,4.08,2.39,9.16,3.05,0.2,0.9
andesite,59.22,15.23,4.54,4.33,3.9,7.75,2.06,0.19,0.92
andesite,59.65,15.35,4.55,4.24,3.92,7.77,2.09,0.19,0.91
andesite,59.55,15.37,4.62,4.18,3.81,7.89,2.07,0.19,0.93
andesite,59.15,15.44,4.91,4.2,3.71,7.93,2.26,0.19,0.9
andesite,59.97,15.32,4.37,4.27,4.0,7.6,1.96,0.19,0.9
andesite,59.78,15.43,4.52,4.22,3.93,7.7,2.03,0.19,0.91
andesite,59.82,15.35,4.52,4.24,3.93,7.69,2.04,0.19,0.9
andesite,59.52,15.36,4.57,4.21,3.9,7.79,2.04,0.19,0.91
andesite,59.39,15.17,4.53,4.17,3.95,8.04,1.96,0.19,0.9
andesite,59.45,15.19,4.53,4.2,3.96,8.04,1.93,0.19,0.91
andesite,59.03,15.27,4.73,4.09,3.81,8.22,2.08,0.19,0.91
andesite,59.35,15.2,4.56,4.2,3.94,8.13,1.98,0.19,0.92
andesite,58.96,15.21,4.72,4.13,3.84,8.22,2.05,0.19,0.91
andesite,59.0,15.24,4.62,4.17,3.87,8.3,2.03,0.19,0.93
andesite,59.34,15.16,4.52,4.19,4.0,8.12,1.96,0.19,0.91
andesite,58.71,15.17,4.77,4.12,3.81,8.49,2.1,0.19,0.96
andesite,59.0,15.25,4.65,4.08,3.83,8.28,2.05,0.19,0.92
andesite,58.94,15.2,4.71,4.12,3.88,8.22,2.06,0.19,0.92
andesite,56.42,16.26,6.69,3.86,2.74,8.75,3.16,0.18,0.86
andesite,55.4,16.13,7.04,3.87,2.24,9.21,3.36,0.19,0.87
andesite,57.06,15.64,5.73,3.78,3.39,8.52,2.57,0.18,0.93
andesite,57.98,15.87,5.51,3.91,3.52,8.11,2.34,0.18,0.9
andesite,56.4,16.09,6.54,3.89,2.79,8.72,3.14,0.18,0.87
andesite,53.13,16.38,8.18,3.57,1.97,9.94,3.99,0.19,0.82
