THICKNESS (CM),BASE BOUNDARY,LITHOLOGY,LITHOLOGY %,LITHOLOGY2,LITHOLOGY2 %,LITHOLOGY3,LITHOLOGY3 %,GRAIN SIZE BASE,PHI VALUES BASE,GRAIN SIZE TOP,PHI VALUES TOP,SYMBOLS IN BED,SYMBOLS/STRUCTURES,NOTES COLUMN,BIOTURBATION TYPE,INTENSITY,PALAEOCURRENT VALUES,FACIES,OTHER1 TEXT,OTHER1 SYMBOL,OTHER2 TEXT,OTHER2 SYMBOL,OTHER3 TEXT,OTHER3 SYMBOL
30.0,Sharp,Mudstone,20,Sandstone,80,<none>,0,silt/vf,4.0,silt/vf,4.0,<none>,"","Potencia desconocida",<none>,0,"",1,"xczxc","","","","",""
150.0,<none>,<none>,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","Zona depositos actuales",<none>,0,"",0,"","","","","",""
30.0,Sharp,Sandstone,100,<none>,0,<none>,0,m/c,1.0,vc/granule,-1.0,<none>,"","Friable",<none>,0,"",2,"","","","","",""
20.0,Erosion,Mudstone,33,Sandstone,34,Mudstone,33,silt/vf,4.0,vf,3.5,<none>,"Nodules and concretions,Load casts","",<none>,0,"",3,"","","","","",""
60.0,Gradational,Sandstone,100,<none>,0,<none>,0,c,0.5,f,2.5,<none>,"Trough cross bedding","Zonas de grava fina",<none>,0,"",3,"","","","","",""
100.0,Sharp,<none>,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","Zona con Vegetación",<none>,0,"",0,"","","","","",""
20.0,<none>,Mudstone,33,Sandstone,34,Mudstone,33,silt/vf,4.0,vf,3.5,<none>,"Nodules and concretions","",<none>,0,"",3,"","","","","",""
75.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.5,f,2.5,<none>,"Trough cross bedding","",<none>,0,"",3,"","","","","",""
20.0,<none>,Mudstone,33,Sandstone,34,Mudstone,33,silt/vf,4.0,vf,3.5,<none>,"Nodules and concretions","",<none>,0,"",3,"","","","","",""
75.0,<none>,Sandstone,100,<none>,0,<none>,0,c,0.5,f,2.5,Current ripple cross-lamination,"Trough cross bedding","",<none>,0,"",3,"","","","","",""
220.0,Sharp,<none>,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
30.0,Sharp,Conglomerate,100,<none>,0,<none>,0,vc/granule,-1.0,vc/granule,-1.0,<none>,"","Clastos Subredondeados",<none>,0,"",4,"","","","","",""
100.0,<none>,Sandstone,70,Mudstone,30,<none>,0,m,1.5,f/m,2.0,<none>,"Roots,Nodules and concretions,Wave ripple cross-lamination","",<none>,0,"",5,"","","","","",""
50.0,Sharp,<none>,100,<none>,0,<none>,0,<none>,0.0,<none>,0.0,<none>,"","",<none>,0,"",0,"","","","","",""
