ID,AT,AZ,DIP
DH001,0.0,90.5,50.0
DH001,31.0,90.5,50.0
DH001,198.050003,90.5,50.0
DH002,0.0,271.5,45.0
DH002,31.0,271.5,45.0
DH002,222.100006,271.5,45.0
DH003,0.0,271.5,44.0
DH003,30.0,271.5,44.0
DH003,208.199997,271.5,45.0
DH004,0.0,265.5,45.0
DH004,100.0,265.5,45.0
DH004,200.0,265.5,45.0
DH005,0.0,272.5,45.0
DH005,31.0,272.5,45.0
DH005,200.0,272.5,45.0
DH006,0.0,269.0,50.0
DH006,562.0,269.0,50.0
DH007,0.0,70.0,60.0
DH007,81.300003,70.5,60.0
DH007,129.309998,70.5,60.0
DH007,154.809998,72.0,60.0
DH007,180.309998,73.5,60.0
DH007,182.149994,73.5,60.0
DH008,0.0,269.0,45.0
DH008,100.0,269.0,45.0
DH008,192.25,269.0,45.0
DH009,0.0,270.0,45.0
DH009,178.25,270.0,45.0
DH010,0.0,270.0,60.0
DH010,52.200001,271.5,61.0
DH010,100.199997,269.5,62.0
DH010,142.199997,271.5,63.0
DH010,172.199997,273.5,64.0
DH010,202.199997,271.5,65.0
DH010,209.699997,272.75,64.0
DH010,217.199997,274.0,63.0
DH010,232.199997,276.5,61.0
DH010,262.200012,276.5,61.0
DH010,292.200012,275.5,61.0
DH010,352.200012,277.5,61.0
DH010,610.299988,277.5,61.0
DH011,0.0,272.5,43.0
DH011,49.200001,272.5,43.0
DH011,64.199997,272.5,44.5
DH011,79.199997,272.5,46.0
DH011,200.0,272.5,46.0
DH012,0.0,333.0,60.0
DH012,50.5,332.5,60.0
DH012,100.199997,337.5,60.0
DH012,151.199997,338.5,60.0
DH012,202.199997,340.5,60.0
DH012,250.199997,341.5,60.0
DH012,301.200012,342.5,60.0
DH012,325.200012,343.25,59.5
DH012,349.200012,344.0,59.0
DH012,360.0,343.799988,59.0
DH012,370.700012,343.600006,59.0
DH012,380.5,345.5,59.0
DH012,410.5,347.0,59.0
DH012,441.5,348.5,60.0
DH012,471.5,348.5,60.0
DH012,501.5,348.5,60.0
DH012,540.5,348.5,60.0
DH012,570.5,348.5,60.0
DH012,585.5,347.0,60.0
DH012,600.5,345.5,60.0
DH012,602.299988,345.5,60.0
DH013,0.0,270.0,45.0
DH013,45.799999,271.5,44.0
DH013,75.800003,271.5,46.0
DH013,137.199997,271.5,45.0
DH013,167.199997,271.5,43.0
DH013,197.199997,272.5,43.0
DH013,200.0,272.5,43.0
DH014,0.0,270.0,45.0
DH014,46.200001,271.5,46.0
DH014,76.199997,271.5,46.0
DH014,125.199997,272.0,44.0
DH014,147.600006,273.75,44.0
DH014,170.0,275.5,43.0
DH014,200.0,275.5,42.0
DH014,202.0,272.5,42.0
DH015,0.0,286.5,45.0
DH015,30.0,286.5,45.0
DH015,99.0,288.5,43.0
DH015,138.0,288.5,42.0
DH015,198.0,288.5,41.0
DH015,228.0,288.5,40.0
DH015,288.0,288.5,40.0
DH015,318.0,289.5,41.0
DH015,348.0,290.5,40.0
DH015,362.040009,289.170013,40.0
DH015,376.079987,287.829987,40.0
DH015,390.100006,286.5,40.0
DH015,420.100006,287.5,36.0
DH015,450.100006,289.5,36.0
DH015,574.849976,289.5,36.0
DH016,0.0,270.0,70.0
DH016,46.200001,271.5,70.0
DH016,76.199997,272.5,70.0
DH016,119.800003,272.5,70.0
DH016,164.800003,273.5,70.0
DH016,200.100006,273.5,70.0
DH017,0.0,270.0,80.0
DH017,31.200001,270.5,81.0
DH017,73.199997,270.5,81.0
DH017,168.0,271.5,81.0
DH017,198.0,272.5,81.0
DH017,200.0,272.5,81.0
DH018,0.0,270.0,80.0
DH018,16.0,265.5,80.0
DH018,41.0,268.5,80.0
DH018,71.0,270.5,80.0
DH018,101.0,271.5,80.0
DH018,131.0,271.5,80.0
DH018,161.0,272.5,80.0
DH018,191.0,273.5,80.0
DH018,221.0,274.5,80.0
DH018,251.0,275.5,81.0
DH018,267.5,278.0,81.0
DH018,284.0,280.5,81.0
DH018,314.0,281.5,81.0
DH018,344.0,282.5,80.0
DH018,374.0,283.5,80.0
DH018,376.0,283.5,80.0
DH019,0.0,280.0,70.0
DH019,78.099998,282.5,70.0
DH019,108.099998,282.5,69.0
DH019,138.100006,282.5,69.0
DH019,168.100006,282.5,69.0
DH019,198.100006,282.5,69.0
DH019,200.100006,282.5,69.0
DH020,0.0,270.0,80.0
DH020,20.200001,268.5,80.0
DH020,80.199997,267.5,80.0
DH020,100.239998,265.5,80.0
DH020,120.279999,263.48999,80.0
DH020,140.199997,261.5,80.0
DH020,200.199997,263.5,80.0
DH020,219.699997,265.0,80.0
DH020,239.199997,266.5,80.0
DH020,299.200012,268.5,80.0
DH020,338.200012,269.5,80.0
DH020,368.200012,271.5,79.0
DH020,370.200012,271.5,79.0
DH021,0.0,280.0,80.0
DH021,39.0,277.5,80.0
DH021,69.0,278.5,80.0
DH021,99.0,278.5,80.0
DH021,138.050003,279.5,81.0
DH021,168.050003,280.5,81.0
DH021,198.050003,281.5,81.0
DH021,200.050003,281.5,80.0
DH022,0.0,270.0,80.0
DH022,2.6,271.0,80.0
DH022,22.879999,272.5,80.0
DH022,43.150002,274.0,80.0
DH022,99.699997,275.5,80.0
DH022,129.699997,276.0,80.0
DH022,144.699997,277.5,80.0
DH022,159.699997,279.0,80.0
DH022,189.699997,281.0,80.0
DH022,191.699997,281.0,80.0
DH023,0.0,272.5,80.0
DH023,31.0,272.5,80.0
DH023,233.800003,272.5,80.0
DH025,0.0,270.0,70.0
DH025,15.0,271.5,70.0
DH025,45.0,272.5,70.0
DH025,96.0,273.5,71.0
DH025,147.0,274.5,71.0
DH025,198.0,274.5,71.0
DH025,287.700012,274.5,71.0
DH026,0.0,270.0,70.0
DH026,92.0,271.5,73.0
DH026,143.0,271.5,73.0
DH026,194.0,274.5,73.0
DH026,245.0,275.5,73.0
DH026,276.0,276.0,73.0
DH026,347.0,276.5,72.0
