Ca,Fe,Mg,target
7.528949999999999,7.79385,3.9195,basalt
7.593299999999999,7.62609,4.04613,basalt
7.40025,7.90569,6.48225,basalt
5.48405,7.730939999999999,11.84292,basalt
7.12855,7.87074,5.85513,basalt
6.7639000000000005,7.48629,6.42798,basalt
7.21435,7.68201,5.13756,basalt
6.635199999999999,8.415959999999998,7.00686,basalt
7.743449999999999,7.828799999999999,5.11947,basalt
7.228649999999999,8.171309999999998,5.77674,basalt
7.571849999999999,8.05947,4.60089,basalt
6.99985,7.78686,6.596819999999999,basalt
7.6219,7.80084,5.02902,basalt
6.527950000000001,8.227229999999999,4.60692,basalt
7.21435,8.19927,5.13756,basalt
6.8354,8.80041,2.80998,basalt
5.78435,8.3181,7.157609999999999,basalt
7.722,7.8987,5.6079,basalt
8.293999999999999,7.409399999999999,4.8843,basalt
7.722,9.087,4.0401,basalt
7.507499999999999,8.5278,3.1356,basalt
6.006,6.8502,5.547599999999999,basalt
6.864,7.339499999999999,3.4371,basalt
7.0785,7.479299999999999,4.1607,basalt
7.292999999999999,7.7589,5.3064,basalt
7.436,7.7589,4.2813,basalt
7.650499999999999,7.7589,4.2813,basalt
7.507499999999999,7.5492,3.9798,basalt
4.7619,8.57673,15.36444,basalt
8.050899999999999,8.65362,6.054119999999999,basalt
5.98455,8.43693,10.07613,basalt
6.8854500000000005,8.40198,3.72654,basalt
7.95795,7.919669999999999,4.53456,basalt
7.0356,8.70954,3.58182,basalt
7.650499999999999,7.688999999999999,4.5828,basalt
7.507499999999999,8.19927,3.70242,basalt
6.527950000000001,7.64007,5.45715,basalt
7.3216,7.8987,4.24512,basalt
7.864999999999999,7.695989999999999,4.69134,basalt
8.065199999999999,7.98957,4.19688,basalt
7.9651,7.26261,4.37175,basalt
6.9641,8.730509999999999,3.4371,basalt
6.79965,8.13636,4.21497,basalt
7.4932,7.304549999999999,3.7386,basalt
6.878299999999999,8.06646,3.68433,basalt
7.7935,8.038499999999999,5.493329999999999,basalt
7.7935,8.038499999999999,5.51745,basalt
7.864999999999999,8.038499999999999,5.1858,basalt
7.650499999999999,7.968599999999999,5.33052,basalt
7.507499999999999,8.2482,5.42097,basalt
7.864999999999999,8.038499999999999,5.31243,basalt
7.579,7.968599999999999,5.37876,basalt
7.471749999999999,7.688999999999999,3.83508,basalt
7.0785,8.1084,3.4974,basalt
7.24295,7.975589999999999,3.71448,basalt
7.4217,8.08743,3.66021,basalt
7.686249999999999,7.83579,4.06422,basalt
7.650499999999999,7.688999999999999,4.221,basalt
7.650499999999999,7.968599999999999,4.7637,basalt
7.9079,7.737929999999999,4.17276,basalt
7.707699999999999,7.765889999999999,4.709429999999999,basalt
7.579,7.619099999999999,4.703399999999999,basalt
7.579,7.72395,4.91445,basalt
7.95795,7.737929999999999,4.4019,basalt
7.9794,7.60512,4.36572,basalt
7.9651,7.5492,4.47426,basalt
7.9794,7.619099999999999,4.3596900000000005,basalt
8.20105,7.66104,4.29336,basalt
8.11525,7.737929999999999,4.34763,basalt
7.9365,7.72395,4.4019,basalt
7.97225,7.7589,4.43808,basalt
7.95795,7.63308,4.29336,basalt
7.9937,7.423379999999999,4.43808,basalt
7.45745,7.975589999999999,3.90744,basalt
7.772049999999999,7.84278,4.05819,basalt
7.3359,8.44392,4.24512,basalt
6.7925,7.68201,6.349589999999999,basalt
4.81195,8.681579999999999,12.46401,basalt
8.151,8.457899999999999,3.58785,basalt
6.7925,8.2482,7.899299999999999,basalt
6.2348,6.7872900000000005,3.53961,basalt
8.40125,5.82966,6.18678,basalt
7.3359,7.947629999999999,5.14359,basalt
5.3482,8.78643,8.67114,basalt
5.72,8.59071,11.98764,basalt
9.21635,6.79428,4.21497,basalt
6.12755,9.387569999999998,2.63511,basalt
6.048900000000001,9.61125,2.50245,basalt
6.928349999999999,10.42908,3.17781,basalt
7.471749999999999,9.66018,3.29841,basalt
6.6781,10.53393,3.64815,basalt
6.9498,10.29627,3.06324,basalt
6.8854500000000005,8.77245,3.28032,basalt
4.29,7.591139999999999,1.41102,basalt
4.833399999999999,8.25519,1.95372,basalt
7.81495,7.765889999999999,4.13658,basalt
7.579,8.15733,4.07628,basalt
7.97225,8.681579999999999,4.426019999999999,basalt
8.2225,7.849769999999999,4.72752,basalt
6.098949999999999,7.940639999999999,2.52657,basalt
6.6638,9.17088,2.74365,basalt
6.7639000000000005,9.31767,2.78586,basalt
5.019299999999999,8.20626,1.91151,basalt
5.433999999999999,10.08657,2.7979199999999995,basalt
7.50035,7.5492,2.94264,basalt
5.812950000000001,8.35305,2.51451,basalt
6.7353,9.345629999999998,2.49642,basalt
6.628049999999999,9.74406,4.75164,basalt
7.0356,9.14292,4.51044,basalt
5.72,10.40811,3.1356,basalt
7.04275,9.394559999999998,4.12452,basalt
3.78235,9.19185,3.76272,basalt
8.04375,8.72352,4.10643,basalt
7.6076,8.89827,4.72149,basalt
8.14385,9.114959999999998,4.426019999999999,basalt
7.84355,9.7161,3.89538,basalt
8.122399999999999,8.10141,3.53961,basalt
8.179599999999999,9.26874,4.04613,basalt
6.79965,9.345629999999998,4.55868,basalt
7.9794,8.61168,4.31145,basalt
7.178599999999999,9.94677,3.75669,basalt
7.72915,8.506829999999999,4.01598,basalt
6.7639000000000005,9.35961,3.47328,basalt
5.7629,9.107969999999998,3.96774,basalt
7.70055,7.1997,3.75669,basalt
6.02745,10.30326,2.97279,basalt
7.3788,9.02409,3.92553,basalt
7.54325,8.919239999999999,3.88935,basalt
4.71185,8.87031,1.89342,basalt
6.2205,8.30412,2.77983,basalt
7.8793,9.28272,4.26924,basalt
4.85485,7.947629999999999,1.9899,basalt
5.913049999999999,7.72395,3.22605,basalt
4.38295,8.86332,1.39293,basalt
6.12755,11.38671,3.72654,basalt
8.1653,8.71653,3.87126,basalt
8.30115,8.499839999999999,5.14359,basalt
7.8364,8.15733,5.4089100000000006,basalt
9.25925,8.04549,5.88528,basalt
8.2225,8.2482,6.102359999999999,basalt
8.02945,8.61168,5.7043800000000005,basalt
8.40125,8.11539,5.97573,basalt
7.986549999999999,8.36004,5.88528,basalt
8.5085,8.2482,5.752619999999999,basalt
8.272549999999999,8.457899999999999,5.499359999999999,basalt
8.2654,8.58372,5.77071,basalt
8.68725,7.75191,4.733549999999999,basalt
8.73015,7.828799999999999,6.3918,basalt
8.98755,7.919669999999999,4.61898,basalt
9.01615,7.66104,5.71644,basalt
7.9937,7.737929999999999,6.14457,basalt
8.429849999999998,7.828799999999999,5.31846,basalt
9.55955,7.577159999999999,4.93254,basalt
8.67295,7.688999999999999,5.288309999999999,basalt
9.10195,7.220669999999999,5.77674,basalt
8.951799999999999,7.339499999999999,5.69232,basalt
8.129549999999998,9.04506,5.047109999999999,basalt
8.17245,8.8074,5.07123,basalt
8.537099999999999,7.234649999999999,6.47019,basalt
9.2664,6.885149999999999,6.48225,basalt
8.065199999999999,8.61168,4.75767,basalt
8.1367,8.48586,4.456169999999999,basalt
8.2654,6.54264,7.19379,basalt
7.714849999999999,8.42994,5.71041,basalt
7.5504,9.02409,3.08736,basalt
7.97225,7.612109999999999,5.80689,basalt
6.91405,5.962469999999999,4.50441,basalt
9.85985,7.40241,4.84812,basalt
7.6362,8.72352,5.55363,basalt
7.564699999999999,7.241639999999999,5.788799999999999,basalt
8.129549999999998,7.353479999999999,6.42798,basalt
8.8231,6.996989999999999,3.64212,basalt
8.10095,7.695989999999999,3.64212,basalt
8.365499999999999,7.688999999999999,5.246099999999999,basalt
8.866,7.828799999999999,4.93254,basalt
9.152,7.08786,5.33052,basalt
8.722999999999999,5.92053,5.246099999999999,basalt
9.0662,7.31154,4.7637,basalt
8.98755,7.017959999999999,5.31846,basalt
6.08465,11.72922,2.77983,basalt
8.60145,8.32509,4.20291,basalt
7.829249999999999,8.730509999999999,4.02201,basalt
9.6525,6.479729999999999,4.32954,basalt
7.807799999999999,8.82837,3.93156,basalt
6.935499999999999,10.71567,3.2019299999999995,basalt
7.67195,8.702549999999999,5.57172,basalt
7.61475,9.59028,4.20894,basalt
6.985549999999999,10.96731,3.71448,basalt
7.4932,6.58458,7.50132,basalt
6.098949999999999,9.30369,6.44004,basalt
8.0795,6.759329999999999,3.35871,basalt
7.2215,9.21282,4.26321,basalt
7.4217,9.24777,4.00392,basalt
8.77305,5.773739999999999,5.39082,basalt
7.722,6.353909999999999,5.13756,basalt
8.2511,8.81439,4.02804,basalt
7.3931,8.32509,3.4371,basalt
7.886449999999999,9.77202,4.17276,basalt
7.7935,9.345629999999998,4.01598,basalt
7.15,10.331219999999998,3.44916,basalt
7.4217,9.96774,3.53358,basalt
7.15715,10.86945,3.00897,basalt
6.44215,10.4151,2.88837,basalt
7.0928,9.79299,3.09942,basalt
7.350199999999999,9.32466,3.63609,basalt
7.0928,10.54092,3.30444,basalt
7.6648,8.276159999999999,3.48534,basalt
6.91405,9.82095,3.08736,basalt
6.728149999999999,10.07259,3.08736,basalt
6.8211,9.19185,3.22002,basalt
5.84155,10.30326,2.72556,basalt
7.60045,9.93978,3.37077,basalt
8.2797,8.91225,3.6783,basalt
